value,name,bgg_id,date,type,classification
City Building,Comuni,37231,1/2/2024,classification,boardgamecategory
Medieval,Comuni,37231,1/2/2024,classification,boardgamecategory
Dice,Coimbra,245638,1/2/2024,classification,boardgamecategory
Renaissance,Coimbra,245638,1/2/2024,classification,boardgamecategory
Adventure,Livingstone,40444,1/2/2024,classification,boardgamecategory
Dice,Livingstone,40444,1/2/2024,classification,boardgamecategory
Exploration,Livingstone,40444,1/2/2024,classification,boardgamecategory
Abstract Strategy,Beowulf: The Movie Board Game,29308,1/2/2024,classification,boardgamecategory
Fantasy,Beowulf: The Movie Board Game,29308,1/2/2024,classification,boardgamecategory
Medieval,Beowulf: The Movie Board Game,29308,1/2/2024,classification,boardgamecategory
Movies / TV / Radio theme,Beowulf: The Movie Board Game,29308,1/2/2024,classification,boardgamecategory
Wargame,Breakout: Normandy,730,1/2/2024,classification,boardgamecategory
World War II,Breakout: Normandy,730,1/2/2024,classification,boardgamecategory
Adventure,Risk: The Lord of the Rings Trilogy Edition,8107,1/2/2024,classification,boardgamecategory
Fantasy,Risk: The Lord of the Rings Trilogy Edition,8107,1/2/2024,classification,boardgamecategory
Movies / TV / Radio theme,Risk: The Lord of the Rings Trilogy Edition,8107,1/2/2024,classification,boardgamecategory
Novel-based,Risk: The Lord of the Rings Trilogy Edition,8107,1/2/2024,classification,boardgamecategory
Territory Building,Risk: The Lord of the Rings Trilogy Edition,8107,1/2/2024,classification,boardgamecategory
Wargame,Risk: The Lord of the Rings Trilogy Edition,8107,1/2/2024,classification,boardgamecategory
Movies / TV / Radio theme,Risk: Game of Thrones,179719,1/2/2024,classification,boardgamecategory
Territory Building,Risk: Game of Thrones,179719,1/2/2024,classification,boardgamecategory
Wargame,Risk: Game of Thrones,179719,1/2/2024,classification,boardgamecategory
Animals,Dodos Riding Dinos,254683,1/2/2024,classification,boardgamecategory
Miniatures,Dodos Riding Dinos,254683,1/2/2024,classification,boardgamecategory
Action / Dexterity,Crash Octopus,319579,1/2/2024,classification,boardgamecategory
Animals,Crash Octopus,319579,1/2/2024,classification,boardgamecategory
Fantasy,Crash Octopus,319579,1/2/2024,classification,boardgamecategory
Age of Reason,A Few Acres of Snow,79828,1/2/2024,classification,boardgamecategory
American Indian Wars,A Few Acres of Snow,79828,1/2/2024,classification,boardgamecategory
Card Game,A Few Acres of Snow,79828,1/2/2024,classification,boardgamecategory
Territory Building,A Few Acres of Snow,79828,1/2/2024,classification,boardgamecategory
Wargame,A Few Acres of Snow,79828,1/2/2024,classification,boardgamecategory
Adventure,Shadows of Malice,154510,1/2/2024,classification,boardgamecategory
Fantasy,Shadows of Malice,154510,1/2/2024,classification,boardgamecategory
Animals,Odin's Ravens,4396,1/2/2024,classification,boardgamecategory
Card Game,Odin's Ravens,4396,1/2/2024,classification,boardgamecategory
Mythology,Odin's Ravens,4396,1/2/2024,classification,boardgamecategory
Card Game,Trains,121408,1/2/2024,classification,boardgamecategory
Territory Building,Trains,121408,1/2/2024,classification,boardgamecategory
Trains,Trains,121408,1/2/2024,classification,boardgamecategory
Transportation,Trains,121408,1/2/2024,classification,boardgamecategory
Bluffing,Discworld: Ankh-Morpork,91312,1/2/2024,classification,boardgamecategory
Card Game,Discworld: Ankh-Morpork,91312,1/2/2024,classification,boardgamecategory
City Building,Discworld: Ankh-Morpork,91312,1/2/2024,classification,boardgamecategory
Deduction,Discworld: Ankh-Morpork,91312,1/2/2024,classification,boardgamecategory
Fantasy,Discworld: Ankh-Morpork,91312,1/2/2024,classification,boardgamecategory
Novel-based,Discworld: Ankh-Morpork,91312,1/2/2024,classification,boardgamecategory
Ancient,Sylla,35761,1/2/2024,classification,boardgamecategory
Adventure,Lagoon: Land of Druids,152053,1/2/2024,classification,boardgamecategory
Exploration,Lagoon: Land of Druids,152053,1/2/2024,classification,boardgamecategory
Fantasy,Lagoon: Land of Druids,152053,1/2/2024,classification,boardgamecategory
Economic,Batavia,35248,1/2/2024,classification,boardgamecategory
Nautical,Batavia,35248,1/2/2024,classification,boardgamecategory
Renaissance,Batavia,35248,1/2/2024,classification,boardgamecategory
Abstract Strategy,Overboss: A Boss Monster Adventure,310192,1/2/2024,classification,boardgamecategory
Fantasy,Overboss: A Boss Monster Adventure,310192,1/2/2024,classification,boardgamecategory
Puzzle,Overboss: A Boss Monster Adventure,310192,1/2/2024,classification,boardgamecategory
Video Game Theme,Overboss: A Boss Monster Adventure,310192,1/2/2024,classification,boardgamecategory
Nautical,Cartagena,826,1/2/2024,classification,boardgamecategory
Pirates,Cartagena,826,1/2/2024,classification,boardgamecategory
Bluffing,Council of Verona,140863,1/2/2024,classification,boardgamecategory
Card Game,Council of Verona,140863,1/2/2024,classification,boardgamecategory
Deduction,Council of Verona,140863,1/2/2024,classification,boardgamecategory
Novel-based,Council of Verona,140863,1/2/2024,classification,boardgamecategory
Renaissance,Council of Verona,140863,1/2/2024,classification,boardgamecategory
Animals,Raccoon Tycoon,254386,1/2/2024,classification,boardgamecategory
Economic,Raccoon Tycoon,254386,1/2/2024,classification,boardgamecategory
Economic,Tinners' Trail,321277,1/2/2024,classification,boardgamecategory
Industry / Manufacturing,Tinners' Trail,321277,1/2/2024,classification,boardgamecategory
Card Game,Colony,192934,1/2/2024,classification,boardgamecategory
Dice,Colony,192934,1/2/2024,classification,boardgamecategory
Science Fiction,Colony,192934,1/2/2024,classification,boardgamecategory
Party Game,Taboo,1111,1/2/2024,classification,boardgamecategory
Real-time,Taboo,1111,1/2/2024,classification,boardgamecategory
Word Game,Taboo,1111,1/2/2024,classification,boardgamecategory
Civilization,Voidfall,337627,1/2/2024,classification,boardgamecategory
Economic,Voidfall,337627,1/2/2024,classification,boardgamecategory
Science Fiction,Voidfall,337627,1/2/2024,classification,boardgamecategory
Space Exploration,Voidfall,337627,1/2/2024,classification,boardgamecategory
Wargame,Storm over Arnhem,1423,1/2/2024,classification,boardgamecategory
World War II,Storm over Arnhem,1423,1/2/2024,classification,boardgamecategory
City Building,Keythedral,4099,1/2/2024,classification,boardgamecategory
Medieval,Keythedral,4099,1/2/2024,classification,boardgamecategory
Adventure,Altar Quest,273703,1/2/2024,classification,boardgamecategory
Card Game,Altar Quest,273703,1/2/2024,classification,boardgamecategory
Dice,Altar Quest,273703,1/2/2024,classification,boardgamecategory
