value,name,bgg_id,date,type,classification
Campaign / Battle Card Driven,Fields of Fire 2,139433,1/2/2024,classification,boardgamemechanic
Hand Management,A Game of Thrones Collectible Card Game,4286,1/2/2024,classification,boardgamemechanic
Acting,Reverse Charades,86156,1/2/2024,classification,boardgamemechanic
Command Cards,Aeon Trespass: Odyssey,242705,1/2/2024,classification,boardgamemechanic
Solo / Solitaire Game,A Gentle Rain,334011,1/2/2024,classification,boardgamemechanic
Cooperative Game,Aeon Trespass: Odyssey,242705,1/2/2024,classification,boardgamemechanic
Map Addition,Aeon Trespass: Odyssey,242705,1/2/2024,classification,boardgamemechanic
Scenario / Mission / Campaign Game,Aeon Trespass: Odyssey,242705,1/2/2024,classification,boardgamemechanic
Tech Trees / Tech Tracks,Aeon Trespass: Odyssey,242705,1/2/2024,classification,boardgamemechanic
Auction/Bidding,Funkenschlag,12166,1/2/2024,classification,boardgamemechanic
Dice Rolling,Shadow Hunters,24068,1/2/2024,classification,boardgamemechanic
Hidden Roles,Shadow Hunters,24068,1/2/2024,classification,boardgamemechanic
Player Elimination,Shadow Hunters,24068,1/2/2024,classification,boardgamemechanic
Team-Based Game,Shadow Hunters,24068,1/2/2024,classification,boardgamemechanic
Variable Player Powers,Shadow Hunters,24068,1/2/2024,classification,boardgamemechanic
Dice Rolling,Blood Bowl (Second Edition),2288,1/2/2024,classification,boardgamemechanic
Grid Movement,Blood Bowl (Second Edition),2288,1/2/2024,classification,boardgamemechanic
Variable Player Powers,Blood Bowl (Second Edition),2288,1/2/2024,classification,boardgamemechanic
Network and Route Building,Funkenschlag,12166,1/2/2024,classification,boardgamemechanic
Action Drafting,Tiletum,351913,1/2/2024,classification,boardgamemechanic
Tile Placement,A Gentle Rain,334011,1/2/2024,classification,boardgamemechanic
Multi-Use Cards,Town Builder: Coevorden,255633,1/2/2024,classification,boardgamemechanic
Contracts,Cosmic Run: Regeneration,240464,1/2/2024,classification,boardgamemechanic
Dice Rolling,Cosmic Run: Regeneration,240464,1/2/2024,classification,boardgamemechanic
Push Your Luck,Cosmic Run: Regeneration,240464,1/2/2024,classification,boardgamemechanic
Race,Cosmic Run: Regeneration,240464,1/2/2024,classification,boardgamemechanic
Re-rolling and Locking,Cosmic Run: Regeneration,240464,1/2/2024,classification,boardgamemechanic
Set Collection,Cosmic Run: Regeneration,240464,1/2/2024,classification,boardgamemechanic
Solo / Solitaire Game,Cosmic Run: Regeneration,240464,1/2/2024,classification,boardgamemechanic
"Deck, Bag, and Pool Building",Dice Forge,194594,1/2/2024,classification,boardgamemechanic
Dice Rolling,Dice Forge,194594,1/2/2024,classification,boardgamemechanic
Open Drafting,Dice Forge,194594,1/2/2024,classification,boardgamemechanic
