users_rated,num_owners,max_players,bgg_rank,average_weight,average,min_players,year_published,name,max_playtime,min_playtime,bgg_id,date,type
5552,8587,4,1203,2.2528,6.86597,2,2014,La Isla,60,30,154246,1/2/2024,details
3846,8721,4,2448,2.3643,6.55408,2,2003,Risk: The Lord of the Rings Trilogy Edition,180,180,8107,1/2/2024,details
1507,3135,4,2559,3.0175,6.82227,1,2019,Sierra West,60,40,257066,1/2/2024,details
1607,3247,4,2435,2.6391,6.92658,2,2011,Dungeons & Dragons: Conquest of Nerath Board Game,240,120,92044,1/2/2024,details
2057,3560,6,2501,1.1463,6.67878,1,2019,Second Chance,15,10,265683,1/2/2024,details
2570,3923,4,1254,2.8276,7.22693,2,2015,Kraftwagen,75,75,171879,1/2/2024,details
1580,2379,6,1238,3.8256,7.72579,2,2020,18Chesapeake,180,180,253608,1/2/2024,details
6637,12470,8,2398,1.3754,6.3001,2,1992,Loot,20,20,770,1/2/2024,details
5003,8009,8,1219,1.4138,6.90786,1,2019,On Tour,20,20,251412,1/2/2024,details
1660,4047,4,2406,2.15,6.87941,2,2019,Victorian Masterminds,60,45,189453,1/2/2024,details
1353,3013,4,2454,2.1053,6.94019,2,2017,Tybor the Builder,30,30,234621,1/2/2024,details
592,2034,4,2436,2,8.17145,1,2022,Bullet⭐,15,15,343844,1/2/2024,details
1011,3415,4,1223,3,8.54544,1,2020,Aeon's End: Outcasts,60,60,299317,1/2/2024,details
2028,2760,4,1397,2.2321,7.32058,2,2016,Warsaw: City of Ruins,60,45,206803,1/2/2024,details
885,2052,8,2423,1.1667,7.44787,4,2022,Phantom Ink,15,10,330592,1/2/2024,details
3274,4578,4,2463,1.298,6.4609,2,1989,A la carte,30,30,217,1/2/2024,details
2089,2932,6,1341,2.962,7.35211,1,2019,Coloma,90,60,264982,1/2/2024,details
3194,4093,4,1344,2.7818,7.02103,3,2001,Medina,60,60,1261,1/2/2024,details
2002,4386,20,2561,1.1778,6.68027,3,2013,Funemployed,30,30,142296,1/2/2024,details
1290,4163,4,2567,1.5455,6.988,2,2020,Ticket to Ride: Amsterdam,15,10,309113,1/2/2024,details
4201,9951,4,1281,1.1261,6.94752,2,2019,Tussie Mussie,30,20,257614,1/2/2024,details
2249,4698,5,1268,2.7857,7.41628,2,2022,The Wolves,75,75,368058,1/2/2024,details
4970,6678,4,1227,2.8704,6.89095,2,2007,Caylus Magna Carta,75,45,27364,1/2/2024,details
2597,5434,7,1240,2.1346,7.2782,2,2015,Watson & Holmes,75,45,182694,1/2/2024,details
1987,4326,4,2452,2.5676,6.67756,3,1998,Verräter,60,60,72,1/2/2024,details
606,1234,2,2540,3.4839,8.04535,2,2006,EastFront: The War in Russia 1941-45 – Second Edition,240,240,22143,1/2/2024,details
1564,3040,8,2524,1.5091,6.87633,2,1979,Big Boggle,10,10,10550,1/2/2024,details
3152,4723,2,2555,1.7617,6.42889,1,2010,Famiglia,30,30,81453,1/2/2024,details
1803,3073,4,2494,3.0207,6.71489,2,2007,Key Harvest,90,90,29839,1/2/2024,details
1906,3631,8,2515,1.1791,6.74878,2,2012,Ghost Blitz 2,30,30,118705,1/2/2024,details
686,1341,5,2521,3.1081,7.94172,1,2020,Planet Apocalypse,90,60,220827,1/2/2024,details
1136,1559,5,2522,2.5161,7.10777,3,2015,Tulip Bubble,70,50,229414,1/2/2024,details
686,2560,4,2581,2.1667,7.73021,2,2020,Dale of Merchants 3,40,20,299452,1/2/2024,details
1572,1790,6,2615,1.8529,6.78431,2,2003,Gemblo,30,30,19427,1/2/2024,details
640,1302,99,2592,1.75,7.76935,1,2021,Exit: The Game – Advent Calendar: The Hunt for the Golden Book,90,45,343322,1/2/2024,details
654,1261,4,2664,2.9643,7.76768,2,2012,Puzzle Strike Shadows,20,20,123609,1/2/2024,details
2509,4918,5,1342,2.0789,7.20146,1,2020,Wild Space,40,15,298371,1/2/2024,details
2094,4068,4,1410,3.5556,7.25413,2,2017,Keyper,120,90,212516,1/2/2024,details
3534,4637,2,1488,2.1166,6.8589,2,2005,Aton,30,30,19999,1/2/2024,details
8272,10808,5,1627,2.005,6.56079,3,2002,Pirate's Cove,90,60,2987,1/2/2024,details
1458,3049,5,2492,2.5952,6.87396,2,2014,Onward to Venus,120,90,158109,1/2/2024,details
2484,3314,4,2502,2.0621,6.53984,2,2005,Palazzo,60,60,15318,1/2/2024,details
1010,1721,4,2512,2.225,7.24435,1,2017,Coldwater Crown,90,40,200934,1/2/2024,details
1461,2205,5,2618,3.0088,6.8022,3,2010,Olympus,120,60,73070,1/2/2024,details
1811,2412,5,2418,2.9192,6.75721,2,2007,El Capitán,75,75,29972,1/2/2024,details
1948,2681,4,1302,3.2048,7.42083,2,2018,Castell,90,60,238638,1/2/2024,details
4046,7101,68,1337,1.4908,6.97079,5,2008,Ultimate Werewolf: Ultimate Edition,90,30,38159,1/2/2024,details
3010,3577,5,1347,2.852,7.04516,2,2002,Keythedral,90,60,4099,1/2/2024,details
3042,9877,2,1353,2.3273,7.12011,1,2017,One Deck Dungeon: Forest of Shadows,45,30,224821,1/2/2024,details
1083,2371,4,2409,2.8519,7.24085,1,2017,Fate of the Elder Gods,90,30,198609,1/2/2024,details
586,1348,4,2562,2.4,8.1652,2,2019,Warhammer Age of Sigmar: Warcry Starter Set,60,30,276925,1/2/2024,details
794,2232,99,2589,1.0909,7.4483,5,2019,"Wits & Wagers: It's Vegas, Baby!",40,30,286428,1/2/2024,details
1212,3794,2,2631,2.6667,7.00189,2,2013,Pixel Tactics 2,45,45,137423,1/2/2024,details
1494,2314,4,2634,1.0804,6.83216,2,2002,Viva Topo!,30,20,8195,1/2/2024,details
942,2243,5,2563,2.3478,7.26114,1,2022,Joan of Arc: Orléans Draw & Write,45,30,364641,1/2/2024,details
2632,4802,2,2597,1.8776,6.54635,2,1979,The Awful Green Things From Outer Space,90,60,162,1/2/2024,details
1740,2781,4,2672,1.4839,6.67372,2,2009,Keltis: Das Kartenspiel,20,20,40832,1/2/2024,details
924,2265,4,2739,3.2708,7.21514,2,2020,Mezo,120,90,243797,1/2/2024,details
1856,4274,4,1285,1.6667,7.52436,1,2021,Floriferous,30,20,322622,1/2/2024,details
2204,5423,5,2558,1.814,6.59952,2,2016,Evolution: The Beginning,30,30,201248,1/2/2024,details
655,1215,1,2565,3.1429,7.8145,1,2013,Dawn of the Zeds (Second edition),90,45,144568,1/2/2024,details
1068,1809,6,2578,1.8333,7.08475,2,2021,Whale Riders,45,30,305761,1/2/2024,details
3824,5783,4,2594,1.0615,6.34601,1,2008,Sorry! Sliders,30,30,37196,1/2/2024,details
1085,2217,4,2736,1.96,7.00671,2,2020,My Farm Shop,45,45,270636,1/2/2024,details
507,1138,6,2838,3.8929,7.92763,3,2007,1848: Australia,240,200,32424,1/2/2024,details
904,2457,4,2690,2.4,7.22789,1,2023,The Fox Experiment,60,60,368432,1/2/2024,details
957,2258,4,2903,2.0556,7.31046,2,2017,Illimat,60,15,210040,1/2/2024,details
984,2562,4,2366,2.6304,7.40792,1,2023,3 Ring Circus,75,45,371947,1/2/2024,details
855,1695,5,2451,1.8966,7.53587,2,2012,Zug um Zug: Deutschland,60,30,119637,1/2/2024,details
2553,5458,4,2434,2.4949,6.60491,2,1962,Twixt,30,30,949,1/2/2024,details
1642,3217,4,2477,2.5441,6.82312,1,2021,Rocketmen,90,30,283387,1/2/2024,details
1646,2069,5,2402,2.371,6.84808,2,2008,The Name of the Rose,75,75,35488,1/2/2024,details
640,2462,2,2726,1.7143,7.76499,2,2021,Dice Throne: Season One ReRolled – Pyromancer v. Shadow Thief,40,20,322563,1/2/2024,details
764,1067,4,2752,3.1429,7.51747,2,1988,Full Metal Planète,90,90,20,1/2/2024,details
